Data values,Data description,Year,Row,Column,Authority,Notes
249,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Isle of Anglesey,
439,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Gwynedd,
147,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Conwy,
484,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Denbighshire,
223,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Flintshire,
467,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Wrexham,
1366.16,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Powys,
4838,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Ceredigion,
243,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Pembrokeshire,
973,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Carmarthenshire,
736,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Swansea,
1054,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Neath Port Talbot,
829,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Bridgend,
552,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Vale of Glamorgan,
688.5,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Rhondda Cynon Taf,
58.12,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Merthyr Tydfil,
455,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Caerphilly,
75,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Blaenau Gwent,
311,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Monmouthshire,
245,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Newport,
883,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Cardiff,
15315.8,£ thousand,2002-03,"Transport planning, policy and strategy",Direct spend (employee costs and running costs),Total Unitary Authorities,
186,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Isle of Anglesey,
22,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Conwy,
147,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Denbighshire,
23,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Flintshire,
33,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Wrexham,
1051.42,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Powys,
731,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Ceredigion,
123,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Pembrokeshire,
379,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Carmarthenshire,
137,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Swansea,
197,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Neath Port Talbot,
178,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Bridgend,
173,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Vale of Glamorgan,
432.27,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Rhondda Cynon Taf,
41.11,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Merthyr Tydfil,
30,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Caerphilly,
225,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Blaenau Gwent,
50,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Monmouthshire,
1103,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Cardiff,
5261.81,£ thousand,2002-03,"Transport planning, policy and strategy",Central and departmental support services costs,Total Unitary Authorities,
-4,£ thousand,2002-03,"Transport planning, policy and strategy",Income from joint arrangements with other local authorities,Monmouthshire,
-4,£ thousand,2002-03,"Transport planning, policy and strategy",Income from joint arrangements with other local authorities,Total Unitary Authorities,
435,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Isle of Anglesey,
439,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Gwynedd,
169,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Conwy,
631,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Denbighshire,
246,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Flintshire,
500,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Wrexham,
2417.59,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Powys,
5569,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Ceredigion,
366,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Pembrokeshire,
1352,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Carmarthenshire,
873,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Swansea,
1251,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Neath Port Talbot,
1007,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Bridgend,
725,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Vale of Glamorgan,
1120.78,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Rhondda Cynon Taf,
99.23,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Merthyr Tydfil,
485,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Caerphilly,
300,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Blaenau Gwent,
357,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Monmouthshire,
245,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Newport,
1986,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Cardiff,
20573.61,£ thousand,2002-03,"Transport planning, policy and strategy",Gross expenditure,Total Unitary Authorities,
-147,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Isle of Anglesey,
-99,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Gwynedd,
-77,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Conwy,
-153,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Denbighshire,
-14,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Flintshire,
-9,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Wrexham,
-1747.56,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Powys,
-5969,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Ceredigion,
-78,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Pembrokeshire,
-350,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Carmarthenshire,
-280,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Bridgend,
-153,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Vale of Glamorgan,
-435.54,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Rhondda Cynon Taf,
-1.7,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Merthyr Tydfil,
-277,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Caerphilly,
-95,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Blaenau Gwent,
-50,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Monmouthshire,
-162,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Newport,
-1091,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Cardiff,
-11188.81,£ thousand,2002-03,"Transport planning, policy and strategy","Income from sales, fees and charges",Total Unitary Authorities,
-30,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Denbighshire,
-47,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Flintshire,
-60,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Wrexham,
-5,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Pembrokeshire,
-373,£ thousand,2002-03,"Transport planning, policy and strategy",Other income (excluding joint arrangements),Neath Port Talbot,
